shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
C1997,47.60115,19.01912,47
C1997,47.60126,19.01953,48
C1997,47.60133,19.01976,49
C1997,47.60142,19.02001,50
C1997,47.60149,19.02012,51
C1997,47.60156,19.02022,52
C1997,47.60164,19.02031,53
C1997,47.60173,19.02038,54
C1997,47.6018,19.02044,55
C1997,47.60201,19.02061,56
C1997,47.60225,19.02078,57
C1997,47.60243,19.02092,58
C1997,47.60298,19.02122,59
C1997,47.60333,19.02137,60
C1997,47.60412,19.02171,61
C1997,47.60457,19.02188,62
C1997,47.60465,19.02189,63
C1997,47.60474,19.02189,64
C1997,47.60482,19.02186,65
C1997,47.60507,19.02167,66
C1997,47.60609,19.02083,67
C1997,47.60628,19.02067,68
C1997,47.60638,19.02061,69
C1997,47.60652,19.02057,70
C1997,47.60668,19.02059,71
C1997,47.60679,19.02061,72
C1997,47.60727,19.02069,73
C1997,47.60819,19.02089,74
C1997,47.6087,19.021,75
C1997,47.6089,19.02105,76
C1997,47.60898,19.02106,77
C1997,47.60925,19.02122,78
C1997,47.60978,19.02156,79
C1997,47.61051,19.02206,80
C1997,47.6106,19.02214,81
C1997,47.61064,19.02222,82
C1997,47.61069,19.02214,83
C1997,47.61071,19.02204,84
C1997,47.61074,19.0219,85
C1997,47.61083,19.02164,86
C1997,47.61102,19.02109,87
C1997,47.61123,19.02049,88
C1997,47.61133,19.02018,89
C1997,47.61148,19.01974,90
C1997,47.61158,19.01945,91
C1997,47.61172,19.019,92
C1997,47.6118,19.01877,93
C1997,47.61186,19.01862,94
C1997,47.61197,19.0183,95
C1997,47.61209,19.01797,96
C1997,47.61221,19.01765,97
C1997,47.61238,19.01713,98
C1997,47.61243,19.01698,99
C1997,47.61247,19.01691,100
C1997,47.61253,19.01683,101
C1997,47.61262,19.01666,102
C1997,47.61282,19.01609,103
C1997,47.61299,19.01567,104
C1997,47.61351,19.01607,105
C1997,47.61354,19.01609,106
C1997,47.61354,19.01609,107
C1997,47.614,19.01646,108
C1997,47.61405,19.01635,109
C1997,47.61444,19.01527,110
C1997,47.61438,19.01523,111
C1998,47.61438,19.01523,1
C1998,47.61438,19.01523,2
C1998,47.61345,19.0145,3
C1998,47.6134,19.01444,4
C1998,47.61311,19.01532,5
C1998,47.61307,19.01543,6
C1998,47.61299,19.01567,7
C1998,47.61282,19.01609,8
C1998,47.61262,19.01666,9
C1998,47.61253,19.01683,10
C1998,47.61247,19.01691,11
C1998,47.61243,19.01698,12
C1998,47.61238,19.01713,13
C1998,47.61221,19.01765,14
C1998,47.61209,19.01797,15
C1998,47.61197,19.0183,16
C1998,47.61186,19.01862,17
C1998,47.6118,19.01877,18
C1998,47.61172,19.019,19
C1998,47.61158,19.01945,20
C1998,47.61148,19.01974,21
C1998,47.61133,19.02018,22
C1998,47.61123,19.02049,23
C1998,47.61102,19.02109,24
C1998,47.61083,19.02164,25
C1998,47.61074,19.0219,26
C1998,47.61071,19.02204,27
C1998,47.61069,19.02214,28
C1998,47.61064,19.02222,29
C1998,47.6106,19.02214,30
C1998,47.61051,19.02206,31
C1998,47.60978,19.02156,32
C1998,47.60925,19.02122,33
C1998,47.60898,19.02106,34
C1998,47.6089,19.02105,35
C1998,47.6087,19.021,36
C1998,47.60819,19.02089,37
C1998,47.60727,19.02069,38
C1998,47.60679,19.02061,39
C1998,47.60668,19.02059,40
C1998,47.60652,19.02057,41
C1998,47.60638,19.02061,42
C1998,47.60628,19.02067,43
C1998,47.60609,19.02083,44
C1998,47.60507,19.02167,45
C1998,47.60482,19.02186,46
C1998,47.60474,19.02189,47
C1998,47.60465,19.02189,48
C1998,47.60457,19.02188,49
C1998,47.60412,19.02171,50
C1998,47.60333,19.02137,51
C1998,47.60298,19.02122,52
C1998,47.60243,19.02092,53
C1998,47.60225,19.02078,54
C1998,47.60201,19.02061,55
C1998,47.6018,19.02044,56
C1998,47.60173,19.02038,57
C1998,47.60164,19.02031,58
C1998,47.60156,19.02022,59
C1998,47.60149,19.02012,60
C1998,47.60142,19.02001,61
C1998,47.60133,19.01976,62
C1998,47.60126,19.01953,63
C1998,47.60115,19.01912,64
C1998,47.60107,19.01889,65
C1998,47.60101,19.01875,66
C1998,47.60095,19.01864,67
C1998,47.60084,19.01853,68
C1998,47.60067,19.01838,69
C1998,47.60059,19.01831,70
C1998,47.60054,19.01826,71
C1998,47.60051,19.01822,72
C1998,47.60046,19.01809,73
C1998,47.60043,19.01798,74
C1998,47.60043,19.01775,75
C1998,47.60045,19.01742,76
C1998,47.60049,19.01698,77
C1998,47.6005,19.01683,78
C1998,47.60049,19.0167,79
C1998,47.60047,19.01662,80
C1998,47.60038,19.01626,81
C1998,47.60036,19.01619,82
C1998,47.6003,19.01594,83
C1998,47.60027,19.01584,84
C1998,47.6002,19.01569,85
C1998,47.59996,19.0153,86
C1998,47.59988,19.01516,87
C1998,47.5998,19.01503,88
C1998,47.59976,19.01495,89
C1998,47.59974,19.01488,90
C1998,47.59973,19.0148,91
C1998,47.59974,19.0147,92
C1998,47.59978,19.01452,93
C1998,47.59989,19.01412,94
C1998,47.59991,19.01405,95
C1998,47.59992,19.01399,96
C1998,47.5999,19.01394,97
C1998,47.59987,19.0139,98
C1998,47.59979,19.01385,99
C1998,47.59939,19.01366,100
C1998,47.59926,19.01358,101
C1998,47.59899,19.01338,102
C1998,47.59893,19.01336,103
C1998,47.59885,19.01341,104
C1998,47.59882,19.0133,105
C1998,47.5988,19.0132,106
C1998,47.59858,19.01312,107
C1998,47.59853,19.01337,108
